timestamp,open,high,low,close,volume,datetime
1777716000000,0.0009505,0.0009623,0.0009505,0.0009587,76602844.0,2026-05-02 10:00:00
1777716060000,0.0009589,0.00096,0.0009502,0.0009562,38202678.0,2026-05-02 10:01:00
1777716120000,0.0009564,0.0009592,0.000953,0.0009548,39842611.0,2026-05-02 10:02:00
1777716180000,0.0009551,0.0009582,0.0009519,0.0009573,23257399.0,2026-05-02 10:03:00
1777716240000,0.0009569,0.0009578,0.000948,0.0009481,29201371.0,2026-05-02 10:04:00
1777716300000,0.0009491,0.000951,0.0009421,0.0009448,81055366.0,2026-05-02 10:05:00
1777716360000,0.0009447,0.0009478,0.0009424,0.0009452,35785691.0,2026-05-02 10:06:00
1777716420000,0.0009449,0.0009459,0.0009403,0.0009419,47452579.0,2026-05-02 10:07:00
1777716480000,0.000942,0.000944,0.0009404,0.0009417,24613125.0,2026-05-02 10:08:00
1777716540000,0.0009416,0.0009522,0.0009354,0.000945,146828917.0,2026-05-02 10:09:00
1777716600000,0.0009456,0.00095,0.0009426,0.0009454,42085025.0,2026-05-02 10:10:00
1777716660000,0.0009452,0.0009461,0.0009425,0.0009445,17190070.0,2026-05-02 10:11:00
1777716720000,0.0009445,0.0009483,0.000943,0.0009459,21322541.0,2026-05-02 10:12:00
1777716780000,0.0009461,0.0009482,0.0009421,0.0009446,22664927.0,2026-05-02 10:13:00
1777716840000,0.0009443,0.0009453,0.0009421,0.000943,10397959.0,2026-05-02 10:14:00
1777716900000,0.0009431,0.0009477,0.0009428,0.000947,20488269.0,2026-05-02 10:15:00
1777716960000,0.0009464,0.0009494,0.0009429,0.0009473,25206532.0,2026-05-02 10:16:00
1777717020000,0.0009475,0.0009494,0.0009413,0.0009461,42265377.0,2026-05-02 10:17:00
1777717080000,0.0009461,0.0009563,0.0009444,0.0009548,52931638.0,2026-05-02 10:18:00
1777717140000,0.0009545,0.0009617,0.0009545,0.0009571,57937992.0,2026-05-02 10:19:00
1777717200000,0.0009571,0.0009606,0.0009552,0.0009596,41578423.0,2026-05-02 10:20:00
1777717260000,0.0009592,0.0009608,0.0009576,0.0009595,35643483.0,2026-05-02 10:21:00
1777717320000,0.0009595,0.0009604,0.0009562,0.0009564,33282883.0,2026-05-02 10:22:00
1777717380000,0.0009562,0.0009648,0.000956,0.000962,67015966.0,2026-05-02 10:23:00
1777717440000,0.0009628,0.0009637,0.0009596,0.0009608,17905228.0,2026-05-02 10:24:00
1777717500000,0.0009608,0.000985,0.0009581,0.0009846,213232912.0,2026-05-02 10:25:00
1777717560000,0.0009846,0.0009874,0.0009741,0.0009841,165955113.0,2026-05-02 10:26:00
1777717620000,0.000984,0.0009854,0.0009791,0.0009796,59054786.0,2026-05-02 10:27:00
1777717680000,0.0009796,0.0009796,0.000968,0.0009718,144836673.0,2026-05-02 10:28:00
1777717740000,0.0009719,0.0009792,0.0009716,0.0009758,45707307.0,2026-05-02 10:29:00
1777717800000,0.0009751,0.0009844,0.000973,0.0009828,60501861.0,2026-05-02 10:30:00
1777717860000,0.000983,0.0009836,0.0009734,0.0009748,74432902.0,2026-05-02 10:31:00
1777717920000,0.0009755,0.0009843,0.000975,0.0009788,47508395.0,2026-05-02 10:32:00
